                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.84659,                 3.5084,                 1.3378,                0.51546,                0.24838,                0.24585,                0.20162,                0.70058,                 2.2322,                 1.2016,              0.0033298,              0.0033298,              0.0033298
                      2,                0.78304,                  2.416,                 1.2723,                0.62358,                0.26284,                0.28582,                  0.217,                0.78816,                 2.1976,                 1.2862,              0.0066411,              0.0066411,              0.0066411
                      3,                0.88563,                 2.3662,                  1.336,                0.60507,                0.26629,                0.27499,                0.19425,                0.98434,                 2.3168,                  1.471,              0.0099305,              0.0099305,              0.0099305
                      4,                 1.0157,                 2.5153,                  1.422,                0.52105,                0.28195,                0.24223,                0.17112,                 1.0286,                 2.3229,                 1.5197,               0.009901,               0.009901,               0.009901
                      5,                 0.9909,                 2.4531,                  1.417,                0.60406,                0.25985,                0.25846,                0.19353,                 1.0122,                 2.2887,                   1.47,               0.009868,               0.009868,               0.009868
                      6,                0.99141,                  2.353,                 1.4055,                0.67553,                0.26644,                0.30761,                0.22343,                0.98982,                 2.1292,                 1.4705,               0.009835,               0.009835,               0.009835
                      7,                0.95532,                 2.2696,                 1.3832,                0.58551,                0.30677,                0.33612,                0.24682,                0.91077,                 1.9632,                 1.3818,               0.009802,               0.009802,               0.009802
                      8,                0.93386,                 2.2053,                 1.3638,                0.69922,                0.31086,                0.32892,                0.24507,                0.93613,                 1.9988,                  1.434,               0.009769,               0.009769,               0.009769
                      9,                0.93449,                 2.1419,                 1.3691,                0.59994,                0.32867,                0.35196,                0.26678,                0.91495,                 1.9592,                 1.3715,               0.009736,               0.009736,               0.009736
                     10,                0.90027,                 2.0587,                  1.347,                  0.601,                0.33603,                0.35888,                0.27071,                0.86733,                 1.8567,                 1.3557,               0.009703,               0.009703,               0.009703
                     11,                0.90383,                 2.0349,                 1.3392,                0.61627,                0.31476,                0.36712,                 0.2733,                0.84273,                 1.8556,                 1.3319,                0.00967,                0.00967,                0.00967
                     12,                0.87166,                 1.9403,                 1.3216,                0.58581,                0.37489,                 0.3951,                0.29602,                0.83648,                 1.7806,                 1.3146,               0.009637,               0.009637,               0.009637
                     13,                0.84185,                 1.8894,                 1.3024,                0.54201,                0.38734,                0.39346,                0.31006,                0.82235,                 1.7362,                 1.3104,               0.009604,               0.009604,               0.009604
                     14,                0.84453,                  1.861,                  1.303,                0.63574,                0.36445,                 0.4054,                0.31455,                0.82389,                 1.6652,                  1.318,               0.009571,               0.009571,               0.009571
                     15,                  0.826,                 1.7911,                  1.288,                0.55332,                 0.3817,                 0.4198,                0.33338,                0.78612,                 1.6946,                 1.2552,               0.009538,               0.009538,               0.009538
                     16,                0.81279,                 1.7456,                 1.2781,                 0.6576,                0.39446,                0.42172,                0.33579,                0.80355,                 1.6349,                 1.2908,               0.009505,               0.009505,               0.009505
                     17,                0.82136,                 1.7482,                  1.285,                0.65042,                0.36051,                0.43664,                0.34148,                 0.7534,                 1.5531,                 1.2458,               0.009472,               0.009472,               0.009472
                     18,                 0.8033,                 1.7042,                 1.2746,                0.68873,                0.39528,                0.44289,                0.34128,                0.74891,                 1.5494,                 1.2352,               0.009439,               0.009439,               0.009439
                     19,                0.78899,                 1.6546,                 1.2595,                 0.7992,                0.37766,                0.45896,                0.36033,                0.71557,                 1.5419,                 1.2069,               0.009406,               0.009406,               0.009406
                     20,                0.77571,                 1.6103,                 1.2495,                0.44251,                0.47398,                 0.4603,                0.36337,                0.72739,                 1.4951,                  1.212,               0.009373,               0.009373,               0.009373
                     21,                0.76689,                 1.6102,                 1.2482,                0.64663,                0.39824,                0.44546,                0.35056,                 0.7601,                 1.5283,                 1.2572,                0.00934,                0.00934,                0.00934
                     22,                0.75969,                  1.567,                 1.2403,                0.59591,                0.44667,                0.46181,                0.36944,                0.74731,                 1.4489,                 1.2374,               0.009307,               0.009307,               0.009307
                     23,                0.75632,                 1.5301,                 1.2433,                 0.6176,                0.45935,                0.48371,                0.38847,                0.70057,                 1.4646,                 1.1843,               0.009274,               0.009274,               0.009274
                     24,                0.75496,                 1.5241,                 1.2408,                0.67351,                0.42555,                0.47367,                0.38564,                0.70166,                 1.3898,                 1.1957,               0.009241,               0.009241,               0.009241
                     25,                 0.7338,                 1.4767,                 1.2251,                0.62125,                0.43415,                0.47997,                0.37948,                0.70871,                 1.4265,                 1.1949,               0.009208,               0.009208,               0.009208
                     26,                0.74342,                 1.4788,                 1.2343,                0.58213,                 0.4602,                0.48261,                0.39142,                0.71864,                 1.4172,                 1.2147,               0.009175,               0.009175,               0.009175
                     27,                0.72104,                 1.4345,                 1.2123,                 0.6136,                0.42383,                0.47059,                0.37505,                0.71762,                 1.4326,                 1.2097,               0.009142,               0.009142,               0.009142
                     28,                0.72474,                 1.3956,                 1.2123,                0.77377,                0.39297,                 0.4753,                0.39455,                0.68692,                 1.4061,                  1.172,               0.009109,               0.009109,               0.009109
                     29,                0.71199,                   1.39,                 1.2104,                0.62781,                0.45189,                0.49011,                0.39665,                0.67425,                 1.3643,                 1.1681,               0.009076,               0.009076,               0.009076
                     30,                0.71308,                 1.3848,                  1.206,                0.54509,                0.46318,                0.48219,                0.38633,                0.70317,                 1.3888,                 1.1968,               0.009043,               0.009043,               0.009043
                     31,                0.70494,                  1.348,                 1.1988,                0.58242,                0.44693,                0.48836,                0.40599,                0.66983,                 1.4131,                 1.1495,                0.00901,                0.00901,                0.00901
                     32,                0.69628,                  1.349,                  1.194,                0.67376,                 0.4555,                0.49999,                0.40533,                0.65633,                 1.2746,                 1.1495,               0.008977,               0.008977,               0.008977
                     33,                0.68899,                 1.3091,                 1.1898,                0.66915,                0.43754,                  0.513,                0.40938,                0.67329,                 1.3765,                 1.1559,               0.008944,               0.008944,               0.008944
                     34,                0.69377,                 1.2834,                 1.1871,                0.64752,                0.47605,                0.50976,                 0.4136,                0.67336,                 1.3165,                 1.1612,               0.008911,               0.008911,               0.008911
