                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6787,                 1.2995,                 1.1871,                0.52689,                0.49186,                0.51661,                0.42499,                 0.6542,                 1.3447,                 1.1532,               0.008878,               0.008878,               0.008878
                     36,                0.67648,                 1.2637,                 1.1843,                0.53252,                0.47235,                0.49101,                0.40472,                0.67251,                 1.3628,                 1.1543,               0.008845,               0.008845,               0.008845
                     37,                0.67133,                 1.2395,                   1.18,                0.72508,                0.44243,                0.50555,                0.41951,                0.65724,                 1.2934,                 1.1583,               0.008812,               0.008812,               0.008812
                     38,                0.67201,                 1.2274,                 1.1765,                0.63602,                0.44627,                 0.4963,                0.41585,                0.67389,                 1.3329,                   1.17,               0.008779,               0.008779,               0.008779
                     39,                0.66683,                 1.2125,                 1.1744,                0.71061,                0.42403,                0.49677,                 0.4075,                0.66677,                 1.3098,                 1.1689,               0.008746,               0.008746,               0.008746
                     40,                  0.657,                 1.2076,                 1.1666,                0.63849,                0.47459,                0.50058,                0.42376,                0.63823,                 1.2491,                 1.1439,               0.008713,               0.008713,               0.008713
                     41,                0.65433,                 1.1802,                 1.1683,                0.59228,                0.49925,                0.52665,                0.43594,                0.64504,                  1.219,                 1.1443,                0.00868,                0.00868,                0.00868
                     42,                0.66142,                 1.1692,                 1.1718,                0.65265,                0.44881,                0.51236,                0.42739,                0.62946,                 1.2381,                 1.1248,               0.008647,               0.008647,               0.008647
                     43,                 0.6574,                 1.1695,                 1.1668,                0.72808,                0.45846,                0.52383,                0.43646,                0.63258,                  1.235,                 1.1371,               0.008614,               0.008614,               0.008614
                     44,                0.64544,                 1.1541,                 1.1608,                0.80632,                0.43524,                0.52313,                0.43959,                0.59531,                 1.2519,                 1.1056,               0.008581,               0.008581,               0.008581
                     45,                0.63205,                 1.1502,                  1.152,                0.72029,                0.45367,                0.53977,                0.44191,                0.63872,                 1.2434,                 1.1339,               0.008548,               0.008548,               0.008548
                     46,                0.63574,                 1.1307,                 1.1512,                0.66552,                0.47107,                 0.5249,                0.43251,                0.65647,                 1.2746,                 1.1512,               0.008515,               0.008515,               0.008515
                     47,                0.62858,                 1.0901,                 1.1419,                0.56817,                0.53545,                 0.5328,                0.44069,                0.61938,                 1.2047,                 1.1238,               0.008482,               0.008482,               0.008482
                     48,                0.62575,                 1.0831,                 1.1461,                0.64372,                 0.4946,                0.52956,                0.44294,                0.61636,                  1.212,                 1.1323,               0.008449,               0.008449,               0.008449
                     49,                0.63789,                  1.079,                 1.1516,                0.66572,                0.46786,                0.51813,                0.43025,                0.62372,                 1.2424,                 1.1257,               0.008416,               0.008416,               0.008416
                     50,                0.61112,                 1.0655,                 1.1361,                0.76346,                 0.4396,                0.51734,                0.42448,                0.63625,                 1.2349,                 1.1341,               0.008383,               0.008383,               0.008383
                     51,                0.61869,                 1.0781,                 1.1429,                0.61892,                0.52269,                0.53476,                0.44737,                0.62513,                 1.2521,                 1.1217,                0.00835,                0.00835,                0.00835
                     52,                0.61825,                 1.0511,                 1.1447,                0.62365,                 0.5125,                0.54597,                0.45972,                0.62298,                 1.2162,                 1.1247,               0.008317,               0.008317,               0.008317
                     53,                0.61755,                 1.0265,                 1.1372,                0.56601,                 0.5445,                0.54905,                0.45871,                0.61606,                 1.1949,                 1.1146,               0.008284,               0.008284,               0.008284
                     54,                0.60816,                 1.0418,                  1.136,                0.66756,                0.52494,                0.55853,                0.47215,                0.60102,                 1.1932,                 1.0982,               0.008251,               0.008251,               0.008251
                     55,                0.60716,                 1.0028,                 1.1276,                0.70238,                0.51895,                0.55368,                0.46482,                0.61289,                 1.1945,                 1.1078,               0.008218,               0.008218,               0.008218
                     56,                0.60681,                 1.0283,                 1.1357,                0.69437,                0.50177,                0.56762,                 0.4752,                0.59858,                 1.1783,                 1.0947,               0.008185,               0.008185,               0.008185
                     57,                0.60299,                  1.001,                 1.1277,                0.65424,                0.51212,                0.54028,                0.45228,                0.61685,                  1.207,                 1.1181,               0.008152,               0.008152,               0.008152
                     58,                  0.605,                 1.0122,                 1.1309,                 0.5623,                0.57845,                0.58482,                0.47299,                0.58117,                 1.1679,                 1.0872,               0.008119,               0.008119,               0.008119
                     59,                0.59987,                0.97939,                   1.12,                0.64912,                0.54825,                0.56746,                0.47836,                0.58681,                 1.1771,                 1.0954,               0.008086,               0.008086,               0.008086
                     60,                0.60239,                0.98414,                 1.1215,                 0.7015,                0.53299,                0.57069,                0.47615,                0.60857,                 1.1781,                 1.1198,               0.008053,               0.008053,               0.008053
                     61,                0.59831,                0.98429,                 1.1237,                0.62727,                0.53534,                0.58057,                0.48421,                0.59175,                 1.1428,                 1.1058,                0.00802,                0.00802,                0.00802
                     62,                0.58957,                0.97427,                 1.1182,                 0.6812,                0.53585,                0.57806,                0.47692,                0.59787,                 1.1761,                 1.1236,               0.007987,               0.007987,               0.007987
                     63,                0.58537,                0.97528,                 1.1163,                 0.7468,                0.53912,                0.57487,                0.47147,                 0.6023,                 1.1603,                 1.1218,               0.007954,               0.007954,               0.007954
                     64,                0.58785,                0.93866,                 1.1151,                0.72488,                0.50267,                 0.5735,                0.47698,                0.60006,                 1.1575,                 1.1121,               0.007921,               0.007921,               0.007921
                     65,                 0.5855,                0.94887,                 1.1087,                 0.7593,                0.50809,                0.57655,                0.48293,                0.58936,                 1.1367,                 1.1058,               0.007888,               0.007888,               0.007888
                     66,                0.57287,                 0.9171,                 1.1043,                0.66727,                0.51219,                0.55903,                0.47098,                0.60472,                 1.1121,                 1.1232,               0.007855,               0.007855,               0.007855
                     67,                 0.5766,                0.89845,                 1.1061,                0.63258,                0.53574,                0.58906,                0.48584,                0.60105,                 1.1279,                  1.103,               0.007822,               0.007822,               0.007822
                     68,                0.57519,                0.91325,                 1.1037,                0.55436,                0.55297,                0.58161,                0.48751,                0.60771,                 1.1578,                 1.1126,               0.007789,               0.007789,               0.007789
                     69,                0.56858,                0.88961,                 1.0994,                0.65453,                0.57199,                0.59135,                0.49243,                0.58941,                 1.1341,                 1.0993,               0.007756,               0.007756,               0.007756
                     70,                0.56974,                0.87776,                 1.0958,                0.73309,                0.56228,                0.60014,                0.50954,                0.58497,                 1.0832,                 1.0975,               0.007723,               0.007723,               0.007723
                     71,                0.56745,                0.86724,                 1.0994,                0.69551,                0.52615,                0.58999,                0.49646,                0.59471,                 1.1352,                 1.1092,                0.00769,                0.00769,                0.00769
                     72,                0.56256,                0.86052,                 1.0983,                0.64087,                 0.5981,                0.60286,                0.49681,                0.59464,                 1.1362,                 1.1059,               0.007657,               0.007657,               0.007657
                     73,                0.56144,                0.87169,                 1.1002,                0.72379,                0.50639,                0.57272,                0.48022,                0.57025,                 1.1507,                 1.0819,               0.007624,               0.007624,               0.007624
                     74,                0.55933,                0.86909,                 1.0954,                0.74676,                0.51933,                0.59054,                0.49788,                0.59088,                 1.1058,                 1.1172,               0.007591,               0.007591,               0.007591
                     75,                0.55271,                0.85753,                 1.0914,                0.68776,                0.50521,                0.57118,                0.47992,                0.59746,                 1.1293,                 1.1187,               0.007558,               0.007558,               0.007558
                     76,                0.55613,                0.84917,                 1.0899,                0.58237,                 0.5639,                0.58988,                0.49325,                0.58092,                 1.0798,                 1.1024,               0.007525,               0.007525,               0.007525
                     77,                0.55204,                0.84118,                 1.0898,                0.58807,                0.59018,                0.58602,                0.49594,                 0.5932,                 1.0984,                  1.111,               0.007492,               0.007492,               0.007492
                     78,                0.55563,                0.84452,                 1.0947,                0.67671,                0.52839,                0.56613,                0.47341,                0.60526,                 1.1321,                 1.1227,               0.007459,               0.007459,               0.007459
                     79,                0.55381,                0.85328,                 1.0901,                0.59697,                0.62321,                0.59105,                0.49198,                0.58835,                 1.0654,                 1.1138,               0.007426,               0.007426,               0.007426
                     80,                 0.5514,                0.84082,                 1.0867,                0.62815,                0.58822,                 0.6146,                0.50864,                0.58462,                 1.0969,                 1.1087,               0.007393,               0.007393,               0.007393
                     81,                0.53821,                0.81283,                 1.0772,                0.65829,                0.55046,                0.59525,                0.49933,                 0.5759,                 1.0905,                 1.0952,                0.00736,                0.00736,                0.00736
                     82,                0.54373,                0.82053,                 1.0842,                  0.653,                0.55836,                0.57894,                 0.4833,                0.58991,                   1.07,                 1.1083,               0.007327,               0.007327,               0.007327
                     83,                0.53842,                0.80965,                 1.0845,                0.66055,                0.56656,                0.58308,                0.48735,                0.58965,                 1.0928,                 1.1023,               0.007294,               0.007294,               0.007294
                     84,                0.53933,                0.81393,                 1.0807,                0.71169,                0.56989,                0.61158,                0.50893,                0.58151,                 1.0786,                  1.101,               0.007261,               0.007261,               0.007261
                     85,                0.53741,                0.80098,                 1.0815,                0.72974,                0.51889,                0.58881,                0.49656,                0.56141,                 1.0761,                 1.0786,               0.007228,               0.007228,               0.007228
                     86,                0.54015,                0.81111,                 1.0885,                 0.6255,                0.60561,                0.61442,                0.51124,                 0.5709,                 1.0552,                 1.0909,               0.007195,               0.007195,               0.007195
                     87,                 0.5326,                0.79664,                 1.0821,                0.73027,                0.55244,                0.61542,                0.51002,                0.59412,                 1.0749,                 1.1139,               0.007162,               0.007162,               0.007162
                     88,                0.53312,                0.78568,                 1.0802,                0.60953,                0.60232,                0.61402,                0.51809,                0.56373,                 1.0705,                 1.0862,               0.007129,               0.007129,               0.007129
                     89,                0.53801,                0.79498,                 1.0817,                0.67489,                0.57913,                0.60815,                0.51301,                0.56132,                 1.0545,                  1.067,               0.007096,               0.007096,               0.007096
                     90,                0.52823,                0.79068,                 1.0769,                0.63369,                0.59606,                0.61328,                0.51504,                 0.5706,                 1.0313,                  1.085,               0.007063,               0.007063,               0.007063
                     91,                0.52301,                0.76626,                 1.0677,                0.73714,                0.51574,                0.60635,                0.51818,                0.56813,                 1.0593,                 1.0927,                0.00703,                0.00703,                0.00703
                     92,                0.51873,                 0.7594,                 1.0681,                0.80156,                0.52197,                0.62126,                0.52632,                0.55327,                  1.064,                 1.0737,               0.006997,               0.006997,               0.006997
                     93,                0.52181,                0.77047,                 1.0751,                0.64576,                0.57891,                 0.5994,                0.51042,                0.56087,                 1.0737,                 1.0738,               0.006964,               0.006964,               0.006964
                     94,                0.52081,                0.75106,                 1.0691,                0.66828,                0.53837,                0.61627,                0.52486,                0.54926,                 1.0838,                 1.0669,               0.006931,               0.006931,               0.006931
                     95,                0.51832,                 0.7534,                 1.0642,                0.72655,                0.53673,                0.60441,                0.51625,                0.55697,                  1.086,                 1.0909,               0.006898,               0.006898,               0.006898
                     96,                0.51556,                0.74354,                 1.0649,                0.64863,                0.57094,                0.62555,                0.52052,                0.56612,                 1.0961,                 1.0833,               0.006865,               0.006865,               0.006865
                     97,                0.52391,                  0.754,                 1.0721,                0.56949,                0.61104,                0.60931,                0.51569,                0.55406,                 1.0785,                 1.0776,               0.006832,               0.006832,               0.006832
                     98,                0.52742,                0.74659,                 1.0707,                0.75569,                0.53792,                 0.6148,                0.51758,                0.56158,                  1.071,                 1.0908,               0.006799,               0.006799,               0.006799
                     99,                0.51849,                0.74216,                 1.0684,                0.75976,                0.57031,                0.62137,                0.52566,                0.56819,                 1.0755,                 1.0973,               0.006766,               0.006766,               0.006766
                    100,                0.51689,                0.73902,                 1.0683,                0.73693,                0.58538,                0.62677,                0.51674,                0.56932,                 1.0674,                 1.0921,               0.006733,               0.006733,               0.006733
                    101,                0.51105,                0.72278,                 1.0614,                0.67169,                0.58312,                0.62613,                0.52838,                0.57873,                 1.0677,                 1.1022,                 0.0067,                 0.0067,                 0.0067
                    102,                0.51379,                0.72512,                 1.0646,                0.71189,                0.57959,                0.61658,                0.52072,                0.57608,                 1.0549,                 1.0948,               0.006667,               0.006667,               0.006667
                    103,                0.50586,                0.70917,                 1.0598,                0.79727,                0.55515,                0.61467,                0.51525,                0.59324,                 1.1093,                 1.1219,               0.006634,               0.006634,               0.006634
                    104,                0.50617,                0.72198,                 1.0585,                0.72129,                0.56265,                0.61219,                0.51404,                0.56138,                 1.0473,                 1.0947,               0.006601,               0.006601,               0.006601
                    105,                0.50184,                0.69992,                 1.0576,                0.77891,                0.55438,                0.61907,                0.52781,                0.56726,                 1.0294,                 1.0867,               0.006568,               0.006568,               0.006568
                    106,                0.50899,                0.71564,                 1.0609,                0.69037,                0.56495,                 0.6083,                0.52439,                0.56646,                 1.0535,                 1.0883,               0.006535,               0.006535,               0.006535
                    107,                0.50396,                0.70899,                 1.0569,                0.73013,                0.55957,                0.61865,                0.51599,                0.57703,                  1.052,                 1.1008,               0.006502,               0.006502,               0.006502
                    108,                0.50827,                0.71681,                 1.0638,                0.64294,                0.59226,                0.62095,                0.52747,                0.56876,                 1.0715,                  1.087,               0.006469,               0.006469,               0.006469
                    109,                0.49742,                0.70237,                 1.0535,                0.74606,                0.55748,                0.61395,                0.52178,                0.58811,                 1.0437,                 1.1146,               0.006436,               0.006436,               0.006436
                    110,                0.49998,                0.69227,                 1.0493,                 0.7111,                0.57458,                0.61081,                0.51619,                0.57788,                 1.0792,                 1.1028,               0.006403,               0.006403,               0.006403
                    111,                0.50082,                0.67779,                   1.05,                0.73261,                0.55507,                0.60318,                0.50788,                0.58443,                 1.0747,                 1.1118,                0.00637,                0.00637,                0.00637
                    112,                0.49647,                0.67865,                 1.0558,                 0.7467,                0.54024,                0.60807,                0.50374,                0.58828,                 1.0795,                 1.1121,               0.006337,               0.006337,               0.006337
                    113,                0.48143,                 0.6747,                 1.0424,                0.68036,                0.56998,                0.60853,                0.51071,                0.57651,                 1.0466,                 1.0971,               0.006304,               0.006304,               0.006304
                    114,                0.49118,                0.68369,                 1.0537,                0.75193,                0.54596,                0.61755,                0.51747,                0.57359,                 1.0371,                 1.0972,               0.006271,               0.006271,               0.006271
                    115,                0.50235,                0.66351,                 1.0554,                0.69696,                0.61242,                0.62757,                0.53705,                0.56019,                 1.0415,                 1.0797,               0.006238,               0.006238,               0.006238
                    116,                0.50247,                0.67503,                 1.0533,                0.67128,                0.58963,                0.62504,                0.52525,                0.56035,                 1.0387,                 1.0909,               0.006205,               0.006205,               0.006205
                    117,                0.49948,                0.68385,                 1.0564,                0.76011,                0.53098,                0.61489,                 0.5188,                0.55305,                 1.0476,                  1.089,               0.006172,               0.006172,               0.006172
                    118,                0.49496,                0.66615,                 1.0505,                0.79073,                0.52063,                0.60617,                 0.5088,                0.56791,                 1.0628,                 1.1007,               0.006139,               0.006139,               0.006139
                    119,                 0.4893,                0.67544,                 1.0479,                0.69933,                0.58887,                0.61192,                 0.5275,                0.54961,                 1.0398,                 1.0809,               0.006106,               0.006106,               0.006106
                    120,                0.49344,                0.66359,                 1.0502,                0.70831,                0.60086,                0.62856,                0.53608,                0.54275,                 1.0324,                 1.0693,               0.006073,               0.006073,               0.006073
                    121,                0.48088,                0.64434,                 1.0423,                0.68421,                0.60857,                0.62109,                0.53601,                0.54235,                 1.0378,                 1.0699,                0.00604,                0.00604,                0.00604
                    122,                0.47937,                0.63927,                 1.0385,                0.74195,                0.56458,                0.61512,                0.53016,                 0.5516,                 1.0541,                 1.0851,               0.006007,               0.006007,               0.006007
                    123,                0.48273,                 0.6576,                 1.0442,                0.68285,                0.60196,                0.62851,                0.52825,                0.55633,                 1.0507,                 1.0851,               0.005974,               0.005974,               0.005974
                    124,                0.47837,                0.64124,                 1.0377,                0.61747,                0.61852,                0.62224,                0.53602,                 0.5352,                 1.0512,                  1.063,               0.005941,               0.005941,               0.005941
                    125,                0.47716,                0.64356,                 1.0367,                0.76058,                0.57138,                0.63248,                0.54121,                0.53454,                 1.0615,                 1.0645,               0.005908,               0.005908,               0.005908
                    126,                0.47544,                0.62686,                  1.035,                0.69445,                0.57056,                0.63481,                0.53671,                0.53991,                  1.087,                 1.0691,               0.005875,               0.005875,               0.005875
                    127,                0.47646,                0.62077,                  1.038,                0.64932,                0.61447,                0.64032,                0.54098,                 0.5523,                 1.0878,                 1.0764,               0.005842,               0.005842,               0.005842
                    128,                0.48081,                0.63234,                 1.0426,                0.73651,                0.59027,                0.64168,                0.54236,                0.55089,                 1.0683,                 1.0689,               0.005809,               0.005809,               0.005809
                    129,                 0.4794,                0.62518,                 1.0399,                0.68447,                0.59862,                0.62589,                0.53171,                0.54892,                 1.0433,                 1.0685,               0.005776,               0.005776,               0.005776
                    130,                0.47562,                0.64134,                 1.0356,                0.71854,                 0.5967,                0.62263,                 0.5329,                0.53407,                  1.031,                 1.0568,               0.005743,               0.005743,               0.005743
                    131,                0.46763,                0.61755,                 1.0308,                0.76915,                0.57731,                0.62604,                0.53589,                0.53992,                 1.0256,                 1.0758,                0.00571,                0.00571,                0.00571
                    132,                0.47422,                0.62321,                 1.0338,                0.72304,                0.58035,                0.62424,                0.53294,                0.54336,                 1.0034,                 1.0896,               0.005677,               0.005677,               0.005677
                    133,                0.47021,                 0.6311,                 1.0361,                0.77081,                0.55032,                0.62348,                0.52886,                0.53476,                 1.0094,                 1.0711,               0.005644,               0.005644,               0.005644
                    134,                 0.4702,                0.61375,                 1.0348,                0.70181,                0.58813,                0.63052,                0.53119,                0.54397,                 1.0281,                 1.0834,               0.005611,               0.005611,               0.005611
                    135,                0.46489,                 0.6049,                 1.0284,                0.72905,                 0.5742,                0.64264,                0.54696,                0.53646,                 1.0181,                 1.0687,               0.005578,               0.005578,               0.005578
                    136,                0.46791,                0.60521,                  1.035,                0.72669,                 0.5885,                0.63776,                0.53977,                0.54257,                 1.0199,                 1.0766,               0.005545,               0.005545,               0.005545
                    137,                0.46436,                0.61307,                 1.0356,                 0.7186,                0.57985,                0.64612,                0.55057,                0.53672,                 1.0272,                 1.0706,               0.005512,               0.005512,               0.005512
                    138,                0.46527,                0.60941,                 1.0263,                0.75433,                0.58284,                 0.6449,                0.55174,                0.53374,                 1.0371,                 1.0605,               0.005479,               0.005479,               0.005479
                    139,                0.46936,                0.59756,                 1.0299,                0.72409,                0.58776,                0.64107,                0.54413,                0.53398,                 1.0363,                 1.0585,               0.005446,               0.005446,               0.005446
                    140,                0.46426,                 0.5915,                 1.0279,                0.65209,                0.59567,                0.64157,                0.54019,                0.52968,                 1.0109,                 1.0569,               0.005413,               0.005413,               0.005413
                    141,                0.46694,                0.59324,                 1.0322,                0.71254,                0.58653,                0.63196,                0.53423,                0.52606,                 1.0197,                 1.0501,                0.00538,                0.00538,                0.00538
                    142,                 0.4608,                0.58067,                 1.0266,                0.74472,                0.56968,                0.63968,                0.54185,                0.52271,                 1.0181,                 1.0393,               0.005347,               0.005347,               0.005347
                    143,                0.45522,                0.59084,                 1.0292,                0.67618,                0.60832,                0.63287,                0.53377,                0.52646,                 1.0142,                 1.0444,               0.005314,               0.005314,               0.005314
                    144,                0.45772,                0.58516,                 1.0232,                0.72577,                0.58519,                0.63701,                0.54171,                0.52297,                 1.0022,                 1.0499,               0.005281,               0.005281,               0.005281
                    145,                0.46315,                0.60483,                 1.0319,                0.63959,                0.64123,                0.64574,                0.55135,                0.52927,                0.99191,                 1.0621,               0.005248,               0.005248,               0.005248
                    146,                0.45061,                0.58188,                 1.0188,                 0.6296,                0.64305,                0.64683,                0.55026,                0.53241,                0.98961,                 1.0645,               0.005215,               0.005215,               0.005215
                    147,                0.44866,                0.58669,                 1.0187,                 0.6145,                0.65656,                0.65327,                0.54802,                0.53431,                 1.0012,                 1.0667,               0.005182,               0.005182,               0.005182
                    148,                0.45079,                0.57659,                 1.0193,                0.68993,                0.61081,                0.65239,                0.55019,                0.53262,                0.99111,                 1.0623,               0.005149,               0.005149,               0.005149
                    149,                0.45428,                0.57544,                 1.0234,                0.68173,                0.62881,                 0.6478,                0.54791,                0.53581,                0.98261,                 1.0647,               0.005116,               0.005116,               0.005116
                    150,                0.45698,                0.57614,                 1.0236,                0.70703,                0.60985,                 0.6357,                0.54007,                  0.548,                 1.0017,                 1.0838,               0.005083,               0.005083,               0.005083
                    151,                0.45405,                0.56443,                 1.0233,                0.67766,                0.62132,                0.64897,                  0.555,                0.55141,                 1.0021,                 1.0871,                0.00505,                0.00505,                0.00505
                    152,                0.44458,                0.56732,                 1.0173,                0.73143,                0.59258,                0.65138,                0.55707,                0.55549,                  1.012,                 1.0886,               0.005017,               0.005017,               0.005017
                    153,                0.45263,                0.56534,                 1.0172,                0.73227,                0.59157,                0.64347,                0.55208,                0.55197,                   1.01,                 1.0778,               0.004984,               0.004984,               0.004984
                    154,                0.44805,                 0.5663,                 1.0179,                0.77726,                0.57321,                0.63915,                0.54537,                0.54668,                 1.0115,                 1.0759,               0.004951,               0.004951,               0.004951
                    155,                0.45567,                0.56782,                 1.0212,                0.67949,                0.60954,                0.64445,                0.54794,                0.53983,                0.99567,                 1.0664,               0.004918,               0.004918,               0.004918
                    156,                0.44306,                0.55465,                 1.0134,                0.74192,                0.60513,                0.64003,                0.54794,                0.53946,                0.96185,                  1.074,               0.004885,               0.004885,               0.004885
                    157,                0.43929,                 0.5585,                 1.0141,                0.64176,                0.63288,                0.64658,                0.54525,                0.54227,                0.97785,                 1.0779,               0.004852,               0.004852,               0.004852
                    158,                0.43903,                0.55575,                 1.0138,                0.73189,                0.59623,                0.64309,                0.54174,                0.53369,                 1.0123,                 1.0658,               0.004819,               0.004819,               0.004819
                    159,                0.43414,                 0.5513,                 1.0126,                 0.6791,                0.63303,                0.65029,                0.54512,                0.54469,                 1.0112,                 1.0759,               0.004786,               0.004786,               0.004786
                    160,                0.44089,                 0.5435,                 1.0124,                0.70223,                0.63624,                0.64477,                0.54815,                0.54452,                 1.0035,                 1.0811,               0.004753,               0.004753,               0.004753
